algorithm,platform,method,lower_bound
KF,R5,rf,1
KF,R5,svr,1
KF,R5,mlp,0.5
KF,R5,curve,-1
KF,R5,xgboost,1
KF,R5,hybrid,1
KF,A72,rf,0
KF,A72,svr,1
KF,A72,mlp,1
KF,A72,curve,10
KF,A72,xgboost,0
KF,A72,hybrid,10
KF,M7,rf,0
KF,M7,svr,-1
KF,M7,mlp,-1
KF,M7,curve,0
KF,M7,xgboost,-1
KF,M7,hybrid,0
FFT,R5,rf,-1
FFT,R5,svr,-1
FFT,R5,mlp,-1
FFT,R5,curve,-1
FFT,R5,xgboost,-1
FFT,R5,hybrid,-1
FFT,A72,rf,0.005
FFT,A72,svr,-1
FFT,A72,mlp,1
FFT,A72,curve,300
FFT,A72,xgboost,0
FFT,A72,hybrid,5
FFT,M7,rf,-1
FFT,M7,svr,-1
FFT,M7,mlp,-1
FFT,M7,curve,0
FFT,M7,xgboost,-1
FFT,M7,hybrid,0
AES,R5,rf,-1
AES,R5,svr,-1
AES,R5,mlp,-1
AES,R5,curve,0
AES,R5,xgboost,-1
AES,R5,hybrid,0
AES,A72,rf,-1
AES,A72,svr,-1
AES,A72,mlp,-1
AES,A72,curve,0
AES,A72,xgboost,-1
AES,A72,hybrid,0
AES,M7,rf,-1
AES,M7,svr,-1
AES,M7,mlp,-1
AES,M7,curve,0
AES,M7,xgboost,-1
AES,M7,hybrid,0
MD5,R5,rf,-1
MD5,R5,svr,-1
MD5,R5,mlp,-1
MD5,R5,curve,0.05
MD5,R5,xgboost,-1
MD5,R5,hybrid,0
MD5,A72,rf,-1
MD5,A72,svr,-1
MD5,A72,mlp,-1
MD5,A72,curve,0
MD5,A72,xgboost,-1
MD5,A72,hybrid,0
MD5,M7,rf,-1
MD5,M7,svr,-1
MD5,M7,mlp,-1
MD5,M7,curve,0
MD5,M7,xgboost,-1
MD5,M7,hybrid,0
SHA256,R5,rf,-1
SHA256,R5,svr,-1
SHA256,R5,mlp,-1
SHA256,R5,curve,0
SHA256,R5,xgboost,-1
SHA256,R5,hybrid,0
SHA256,A72,rf,-1
SHA256,A72,svr,-1
SHA256,A72,mlp,-1
SHA256,A72,curve,0
SHA256,A72,xgboost,-1
SHA256,A72,hybrid,0
SHA256,M7,rf,-1
SHA256,M7,svr,-1
SHA256,M7,mlp,-1
SHA256,M7,curve,0
SHA256,M7,xgboost,-1
SHA256,M7,hybrid,0
MPC,R5,rf,-1
MPC,R5,svr,0
MPC,R5,mlp,0
MPC,R5,curve,0
MPC,R5,xgboost,0
MPC,R5,hybrid,0
MPC,A72,rf,0
MPC,A72,svr,-1
MPC,A72,mlp,-1
MPC,A72,curve,20
MPC,A72,xgboost,0
MPC,A72,hybrid,0
MPC,M7,rf,-1
MPC,M7,svr,-1
MPC,M7,mlp,-1
MPC,M7,curve,0
MPC,M7,xgboost,-1
MPC,M7,hybrid,0